time,latitude,longitude,depth,mag,magType,magSource
2023-11-06T10:03:23.630Z,17.91516667,-66.996,15.97,1.82,md,pr
2023-11-06T09:57:10.521Z,63.5379,-147.7305,16.8,1.4,ml,ak
2023-11-06T09:55:14.330Z,33.716,-116.7753333,16.88,0.77,ml,ci
2023-11-06T09:48:55.960Z,44.2785,-110.6315,6.22,1.97,ml,uu
2023-11-06T09:45:12.120Z,19.21133423,-155.1033325,37.84000015,1.82000005,md,hv
2023-11-06T09:31:40.180Z,38.7789993,-122.7576675,0.74,1.63,md,nc
2023-11-06T09:30:58.620Z,44.2706667,-110.6251667,7.35,1.63,ml,uu
2023-11-06T09:29:45.540Z,44.2793333,-110.6366667,4.1,1.57,ml,uu
2023-11-06T09:29:26.420Z,63.7577,-148.4933,77.8,1.5,ml,ak
2023-11-06T09:27:31.920Z,46.19616667,-122.1858333,3.67,-0.02,ml,uw
2023-11-06T09:27:30.078Z,59.9127,-140.7112,2.4,1.9,ml,ak
2023-11-06T09:26:56.366Z,62.1043,-146.6431,35.2,1.6,ml,ak
2023-11-06T09:25:06.430Z,44.2788333,-110.6228333,6.12,1.68,ml,uu
2023-11-06T09:24:17.500Z,44.2801667,-110.6325,5.48,1.08,ml,uu
2023-11-06T09:21:00.090Z,44.279,-110.6263333,4.4,2.49,ml,uu
2023-11-06T09:20:58.679Z,35.449,-98.29466667,6.8,1.05,ml,ok
2023-11-06T09:20:12.060Z,44.2805,-110.6293333,11.12,0.84,md,uu
2023-11-06T09:15:31.870Z,44.2746667,-110.623,10.24,1.2,md,uu
2023-11-06T09:09:19.960Z,44.2721667,-110.6226667,7.46,1.8,ml,uu
2023-11-06T09:08:22.950Z,38.840332,-122.8119965,2.17,0.75,md,nc
2023-11-06T09:08:05.580Z,38.8390007,-122.810997,2.08,1.51,md,nc
2023-11-06T09:05:22.730Z,44.2776667,-110.6085,5.31,0.73,md,uu
2023-11-06T09:05:07.190Z,44.2736667,-110.6356667,11.12,1.16,md,uu
2023-11-06T08:59:07.072Z,63.5664,-147.7226,4.8,1.9,ml,ak
2023-11-06T08:58:43.100Z,38.8343315,-122.7883301,2.12,0.61,md,nc
2023-11-06T08:58:36.020Z,44.2746667,-110.634,9.85,1.19,md,uu
2023-11-06T08:57:55.260Z,36.5678329,-121.1179962,13.64,0.92,md,nc
2023-11-06T08:57:39.833Z,62.5149,-149.5787,46.6,1.8,ml,ak
2023-11-06T08:45:44.206Z,36.6575,-116.2705,6.4,-0.3,ml,nn
2023-11-06T08:45:03.672Z,60.9305,-150.6751,29.9,1.8,ml,ak
2023-11-06T08:30:41.210Z,37.9606667,-113.4893333,-3.28,1.62,ml,uu
2023-11-06T08:25:38.640Z,38.8395004,-122.810997,1.57,0.71,md,nc
2023-11-06T08:20:10.551Z,36.5863,-116.2667,7.2,-0.3,ml,nn
2023-11-06T08:17:22.430Z,38.6378,-118.7925,10.5,1.3,ml,nn
2023-11-06T08:07:22.370Z,33.063,-116.1408333,12.43,1.09,ml,ci
2023-11-06T07:52:11.640Z,47.7965,-122.9183333,20.44,1.33,ml,uw
2023-11-06T07:51:46.777Z,60.4335,-152.7319,120.7,2.5,ml,ak
2023-11-06T07:11:55.800Z,44.63183333,-112.4913333,3.59,1.21,ml,mb
2023-11-06T06:53:38.464Z,62.1633,-145.653,20.1,1.5,ml,ak
2023-11-06T06:53:27.420Z,35.840168,-121.3404999,3.72,2.16,md,nc
2023-11-06T06:50:06.955Z,13.6429,-90.4491,87.072,4.1,mb,us
2023-11-06T06:45:45.049Z,64.4889,-146.9582,8.2,0.9,ml,ak
2023-11-06T06:43:53.920Z,44.41716667,-122.5858333,9.16,0.97,ml,uw
2023-11-06T06:35:05.040Z,47.90366667,-114.0386667,5.56,0.69,ml,mb
2023-11-06T06:30:07.680Z,35.9318352,-120.4886703,9.73,1.14,md,nc
